"A 1998","ジャンル","曲 名","演奏者","演奏者2","演奏者3","演奏者4","演奏者5","演奏者6","演奏者7","伴奏","伴奏2","伴奏3","伴奏4","作詞者","補作","作曲者","作曲者2","編曲者","レーベル","レコード番号","シリアル番号","発売","備考","昭和館","場所","箱"
"06","映画主題歌","仇八ざんげ","若水絹子",,,,,,,"タイヘイ和洋楽団",,,,"川井かつひさ",,"直川哲也",,"直川哲也","タイヘイ","56451-B",,1936,"右太プロ「蛇の目定九郎」主題歌",,,
"06","映画主題歌","蛇の目定九郎","橋本一郎",,,,,,,"東京吉之助(三味線)","東京豊吉(三味線)","タイヘイ和洋楽団",,"森本正雄",,"大村能章",,"大村能章","タイヘイ","56451-Ā",,1936,"右太プロ「蛇の目定九郎」主題歌",,,
"01","流行歌","流線型よ(上)","阿部幸次","ミス・タイヘイ　",,,,,,"タイヘイダンスオーケストラ",,,,"松本英一",,"大村能章",,"平 茂夫","タイヘイ","56172-A",,1935,"トロット
ミス・タイヘイは奥田英子の別名",,,
"01","流行歌","流線型よ(下)","東京富丸",,,,,,,"タイヘイセレナーダス",,,,"松本一晴",,"大村能章",,"大村能章","タイヘイ","56172-B",,1935,"トロット",,,
"01","流行歌","宿場がらす","橋本一郎",,,,,,,"ウエスターン管弦楽団",,,,"時雨音羽",,"大村能章",,"大村能章","タイヘイ","56467-A",,1936,,,,
"01","流行歌","彼女のこころ","新橋喜代丸",,,,,,,"ウエスターン管弦楽団",,,,"西岡水朗",,"片岡志行",,"片岡志行","タイヘイ","56467-B",,1936,,,,
"07","軍歌","勇敢なる水兵","辻順治楽長指揮","陸軍戸山学校軍楽隊",,,,,,,,,,"記述なし",,"記述なし",,,"タイヘイ","56672-A",,"不詳",,,,
"07","軍歌","雪の進軍","辻順治楽長指揮","陸軍戸山学校軍楽隊",,,,,,,,,,"記述なし",,"記述なし",,,"タイヘイ","56672-B",,"不詳",,,,
"07","軍歌","日本陸軍(天に代わりて不義を討つ)(上)","陸軍戸山学校軍楽隊",,,,,,,,,,,"記述なし",,"記述なし",,,"タイヘイ","56686-A",,"不詳",,,,
"07","軍歌","日本陸軍(天に代わりて不義を討つ)(下)","陸軍戸山学校軍楽隊",,,,,,,,,,,"記述なし",,"記述なし",,,"タイヘイ","56686-B",,"不詳",,,,
"06","映画主題歌","花嫁双六","橋本一郎","新橋喜代丸",,,,,,"タイヘイ管弦楽団",,,,"大倉逸平",,"長津 弥",,,"タイヘイ","56480-A",,1936,"新興キネマ春季特作映画
「花嫁設計図」主題歌",,,
"06","映画主題歌","罪なお方","新橋喜代丸",,,,,,,"タイヘイ管弦楽団",,,,"大倉逸平",,"大村能章",,"大村能章","タイヘイ","56480-B",,1936,"新興キネマ春季特作映画
「花嫁設計図」主題歌",,,
